Source,Target
Clark A,Mach N
Polo E,Kruss S
Pin JP,Bettler B
Nausheen F,Mohsin H
Nausheen F,Lakhan SE
Ludwig M,Apps D
Ludwig M,Menzies J
Ludwig M,Patel JC
Ludwig M,Rice ME
Apps D,Menzies J
Apps D,Patel JC
Apps D,Rice ME
Menzies J,Patel JC
Menzies J,Rice ME
Estévez-Herrera J,González-Santana A
Estévez-Herrera J,Baz-Dávila R
Estévez-Herrera J,Machado JD
Estévez-Herrera J,Borges R
González-Santana A,Baz-Dávila R
González-Santana A,Machado JD
González-Santana A,Borges R
Baz-Dávila R,Machado JD
Baz-Dávila R,Borges R
Sanders KM,Nattkemper LA
Sanders KM,Yosipovitch G
Holm TH,Isaksen TJ
Holm TH,Lykke-Hartmann K
Yousuf MS,Kerr BJ
Zalko D,Soto AM
Zalko D,Canlet C
Zalko D,Tremblay-Franco M
Zalko D,Jourdan F
Zalko D,Cabaton NJ
Soto AM,Canlet C
Soto AM,Tremblay-Franco M
Soto AM,Jourdan F
Soto AM,Cabaton NJ
Canlet C,Tremblay-Franco M
Canlet C,Jourdan F
Canlet C,Cabaton NJ
Tremblay-Franco M,Jourdan F
Tremblay-Franco M,Cabaton NJ
Ribeiro JA,Fernandes PMV
Ribeiro JA,Pereira CM
Ribeiro JA,Silva F
Fernandes PMV,Pereira CM
Fernandes PMV,Silva F
Arango-Lievano M,Jeanneteau F
Kim SJ,Kim YJ
Kim SJ,Kakall Z
Kim SJ,Farnham MM
Kim SJ,Pilowsky PM
Kim YJ,Kakall Z
Kim YJ,Farnham MM
Kim YJ,Pilowsky PM
Kakall Z,Farnham MM
Kakall Z,Pilowsky PM
Meireles M,Moura E
Meireles M,Vieira-Coelho MA
Meireles M,Santos-Buelga C
Meireles M,Gonzalez-Manzano S
Meireles M,Dueñas M
Meireles M,Mateus N
Meireles M,Faria A
Meireles M,Calhau C
Moura E,Vieira-Coelho MA
Moura E,Santos-Buelga C
Moura E,Gonzalez-Manzano S
Moura E,Dueñas M
Moura E,Mateus N
Moura E,Faria A
Moura E,Calhau C
Vieira-Coelho MA,Santos-Buelga C
Vieira-Coelho MA,Gonzalez-Manzano S
Vieira-Coelho MA,Dueñas M
Vieira-Coelho MA,Mateus N
Vieira-Coelho MA,Faria A
Vieira-Coelho MA,Calhau C
Santos-Buelga C,Gonzalez-Manzano S
Santos-Buelga C,Dueñas M
Santos-Buelga C,Mateus N
Santos-Buelga C,Faria A
Santos-Buelga C,Calhau C
Gonzalez-Manzano S,Dueñas M
Gonzalez-Manzano S,Mateus N
Gonzalez-Manzano S,Faria A
Gonzalez-Manzano S,Calhau C
Dueñas M,Mateus N
Dueñas M,Faria A
Dueñas M,Calhau C
Mateus N,Faria A
Mateus N,Calhau C
Zhang FY,Li JJ
Zhang FY,Zhou Y
Zhang FY,Xu XY
Li JJ,Zhou Y
Li JJ,Xu XY
Paolella BR,Stiles CD
Di Cairano ES,Moretti S
Di Cairano ES,Marciani P
Di Cairano ES,Sacchi VF
Di Cairano ES,Castagna M
Di Cairano ES,Davalli A
Di Cairano ES,Folli F
Di Cairano ES,Perego C
Moretti S,Marciani P
Moretti S,Sacchi VF
Moretti S,Castagna M
Moretti S,Davalli A
Moretti S,Folli F
Moretti S,Perego C
Marciani P,Sacchi VF
Marciani P,Castagna M
Marciani P,Davalli A
Marciani P,Folli F
Marciani P,Perego C
Sacchi VF,Castagna M
Sacchi VF,Davalli A
Sacchi VF,Folli F
Sacchi VF,Perego C
Castagna M,Davalli A
Castagna M,Folli F
Castagna M,Perego C
Davalli A,Folli F
Davalli A,Perego C
Lieberwirth C,Pan Y
Lieberwirth C,Liu Y
Lieberwirth C,Zhang Z
Lieberwirth C,Wang Z
Pan Y,Liu Y
Pan Y,Zhang Z
Pan Y,Wang Z
Liu Y,Zhang Z
Liu Y,Wang Z
Yi QY,Li HB
Yi QY,Qi J
Yi QY,Yu XJ
Yi QY,Huo CJ
Yi QY,Li X
Yi QY,Bai J
Yi QY,Gao HL
Yi QY,Kou B
Yi QY,Liu KL
Yi QY,Zhang DD
Yi QY,Chen WS
Yi QY,Cui W
Yi QY,Zhu GQ
Yi QY,Shi XL
Yi QY,Kang YM
Li HB,Qi J
Li HB,Yu XJ
Li HB,Huo CJ
Li HB,Li X
Li HB,Bai J
Li HB,Gao HL
Li HB,Kou B
Li HB,Liu KL
Li HB,Zhang DD
Li HB,Chen WS
Li HB,Cui W
Li HB,Zhu GQ
Li HB,Shi XL
Li HB,Kang YM
Qi J,Yu XJ
