Source,Target
Oh J,Walsh CM
Oh J,Bittencourt JC
Oh J,Neylan TC
Oh J,Grinberg LT
Petersen C,Walsh CM
Petersen C,Bittencourt JC
Petersen C,Neylan TC
Petersen C,Grinberg LT
Walsh CM,Bittencourt JC
Walsh CM,Neylan TC
Walsh CM,Grinberg LT
Bittencourt JC,Neylan TC
Bittencourt JC,Grinberg LT
Van Erum J,Van Dam D
Van Erum J,De Deyn PP
Joseph D,Pidathala S
Joseph D,Mallela AK
Joseph D,Penmatsa A
Pidathala S,Mallela AK
Pidathala S,Penmatsa A
Singer HS,Augustine F
Ojeda J,Ávila A
Tavakolian-Ardakani Z,Hosu O
Tavakolian-Ardakani Z,Cristea C
Tavakolian-Ardakani Z,Mazloum-Ardakani M
Tavakolian-Ardakani Z,Marrazza G
Hosu O,Cristea C
Hosu O,Mazloum-Ardakani M
Hosu O,Marrazza G
Cristea C,Mazloum-Ardakani M
Cristea C,Marrazza G
Volonté C,Amadio S
Volonté C,Fabbrizio P
Volonté C,Apolloni S
Amadio S,Fabbrizio P
Amadio S,Apolloni S
Pérez AR,Mendes-da-Cruz DA
Pérez AR,Geenen V
Pérez AR,Savino W
Mendes-da-Cruz DA,Geenen V
Mendes-da-Cruz DA,Savino W
Huang CP,Lin YW
Huang CP,Lee DY
Huang CP,Hsieh CL
Lin YW,Lee DY
Lin YW,Hsieh CL
Kim D,Lee JS
Cabré G,Garrido-Charles A
Cabré G,González-Lafont À
Cabré G,Moormann W
Cabré G,Langbehn D
Cabré G,Egea D
Cabré G,Lluch JM
Cabré G,Herges R
Cabré G,Alibés R
Cabré G,Busqué F
Cabré G,Gorostiza P
Cabré G,Hernando J
Garrido-Charles A,González-Lafont À
Garrido-Charles A,Moormann W
Garrido-Charles A,Langbehn D
Garrido-Charles A,Egea D
Garrido-Charles A,Lluch JM
Garrido-Charles A,Herges R
Garrido-Charles A,Alibés R
Garrido-Charles A,Busqué F
Garrido-Charles A,Gorostiza P
Garrido-Charles A,Hernando J
González-Lafont À,Moormann W
González-Lafont À,Langbehn D
González-Lafont À,Egea D
