"Source","Target"
"Owman C"," Hardebo JE."
"Piercey MF"," Hoffmann WE."
"Fon EA"," Edwards RH."
"Boeckxstaens GE"," Pelckmans PA."
"Dovedova EL"," Monakov MY."
"Lodin Z"," Faltin J."
"MacKenzie G"," Maguire J."
"Pax RA"," Bennett JL."
"Meston CM"," Frohlich PF."
"Singh PP"," Junnarkar AY."
"Onodera K"," Watanabe T."
"Subaraja M"," Vanisree AJ."
"Trautwein W"," Cavalié A."
"Kenigsberg RL"," Cuello AC."
"Levi G"," Raiteri M."
"Spencer RF"," Baker R."
"Kaufman E"," McNaul JP."
"Agarwal N"," Renshaw PF."
"Patricelli MP"," Cravatt BF."
"Niel JP"," Julé Y."
"Chance WT"," Fischer JE."
"Liu YQ"," Gu JF."
"Collins GT"," Eguibar JR."
"Lux HD"," Heinemann U."
"Jacobson KA"," Boeynaems JM."
"Miller PS"," Smart TG."
"Fuentes P"," Slachevsky A."
"Mirzaei M"," Sawan M."
"Sadowska-Krowicka H"," Krowicki ZK."
"De Montigny C"," Lund JP."
"Faull KF"," Barchas JD."
"Liu KG"," Robichaud AJ."
"Xu T"," Hu XC."
"Nonogaki K"," Iguchi A."
"Dietrichs E"," Gundersen V."
"Chistopol'skiĭ IA"," Sakharov DA."
"Green BT"," Brown DR."
"Argiolas A"," Rosaria Melis M."
"Pilowsky PM"," Goodchild AK."
"Bennett MR"," Balcar VJ."
"Ondicova K"," Mravec B."
"Jessell TM"," Kelly JS."
"Sloley BD"," Juorio AV."
"Yanowitch R"," Coccaro EF."
"Holman GM"," Cook BJ."
"Sherry DM"," Yazulla S."
"Zestos AG"," Kennedy RT."
"Fregnan GB"," Chieli T."
"Januszewicz P"," Januszewicz A."
"Meeusen R"," De Meirleir K."
"Esplin DW"," Zablocka-Esplin B."
"Johnson RA"," Johnson FK."
"Friedel T"," Webb RA."
"Perfumo G"," De Matteis PL."
"Kardos J"," Nyikos L."
"Urushidani T"," Kanazawa I."
"Iwańczuk W"," Guźniczak P."
"Allain H"," Schuck S."
"Potdar S"," Sheeba V."
"Dumitrescu E"," Andreescu S."
"Knipper M"," Rylett RJ."
"Matsuzaki M"," Kasai H."
"Adamik A"," Telegdy G."
"Taylor GS"," Bywater RA."
"Jaffe LA"," Cross NL."
"Sakai R"," Swanson GT."
"Roth GS"," Hess GD."
"Jensen JB"," Garfinkel BD."
"Beleslin DB"," Myers RD."
"Breakefield XO"," Giller EL Jr."
"Kleinrok Z"," Turski L."
"Dörner G"," Hinz G."
"Wolfensberger M"," Amsler U."
"Norregaard L"," Gether U."
"Ohga A"," Ito S."
"Eybalin M"," Pujol R."
"Son JH"," Joh TH."
"Miszke A"," Rapacz K."
"Mélik-Parsadaniantz S"," Rostène W."
"Kennedy TE"," Tessier-Lavigne M."
"Carlen PL"," Durand D."
"Pérez-Isidoro R"," Ruiz-Suárez JC."
"McCobb DP"," Kater SB."
"Wetmore C"," Olson L."
"Cudjoe E"," Pawliszyn J."
"Korchounov A"," Ziemann U."
"Prast H"," Philippu A."
"Fagg GE"," Lane JD."
"Manent JB"," Represa A."
"Doussau F"," Augustine GJ."
"Pagel JF"," Helfter P."
"Dazzi F"," Scicchitano C."
"Werner FM"," Coveñas R."
"Terada K"," Ogata J."
"Fletcher EL"," Kalloniatis M."
"Stettler AR"," Schwarz MA."
"Lehnert H"," Wurtman RJ."
"Bazargani N"," Attwell D."
"Sandberg M"," Jacobson I."
"Kurjanova EV"," Teplyj DL."
"Sundvik M"," Panula P."
"Tossman U"," Ungerstedt U."
"Ermakova GA"," Kryzhanovskaia NA."
"Reis DJ"," Regunathan S."
"Takenaga M"," Kawasaki H."
"Haydon PG"," Ellis-Davies GC."
"Werner FM"," Coveñas R."
"Said SI"," Rattan S."
"Telegdy G"," Kokavszky K."
"Baranwal A"," Chandra P."
"Linster C"," Fontanini A."
"d'Ischia M"," Costantini C."
"Jackowska K"," Krysinski P."
"Samanin R"," Garattini S."
"Siraki AG"," O'Brien PJ."
"Buznikov GA"," Turpaev TM."
"Madva EN"," Granstein RD."
"Beckman ML"," Quick MW."
"Patel K"," Hellstrom WJ."
"Fink K"," Göthert M."
"Jackson VM"," Cunnane TC."
"Dhir A"," Kulkarni SK."
"Honegger P"," Richelson E."
"Martin JL"," Magistretti PJ."
"Kulinskiĭ VI"," Minakina LN."
"Wasti A"," Siddiqui NA."
"Holst SC"," Landolt HP."
"O'Shea M"," Adams ME."
"Delahunty TJ"," Johnston JM."
"Cytawa J"," Trojniar W."
"Schwarz MA"," Hauser PC."
"Molinar-Rode R"," Pasik P."
"Tallarida RJ"," Freeman KA."
"Mora F"," Ferrer JM."
"Eldridge FL"," Millhorn DE."
"Nakaki T"," Fujii T."
"Evans EF"," Zhao W."
"Geula C"," Darvesh S."
"Karaki SI"," Kuwahara A."
"Ando S"," Tanaka Y."
"Earley CJ"," Leonard BE."
"Aceituno V D"," Santander J."
"Kudriavtseva NN"," Bakshtanovskaia IV."
"Telegdy G"," Adamik A."
"Grant AO"," Wendt DJ."
"Luo QQ"," Chen SL."
"Kraus MM"," Philippu A."
"Averina OV"," Danilenko VN."
"Kow LM"," Pfaff DW."
"Munkvad I"," Braestrup C."
"Lorenzo JL"," Barbanoj MJ."
"Xu M"," Yang F."
"Racagni G"," Brunello N."
"Compagnon I"," Dugourd P."
"Richerson GB"," Wu Y."
