"Authors"
"Clark A, Mach N."
"Seshadri KG."
"Polo E, Kruss S."
"Pin JP, Bettler B."
"Nausheen F, Mohsin H, Lakhan SE."
"Marshak DW."
"Ludwig M, Apps D, Menzies J, Patel JC, Rice ME."
"Balaban CD."
"Takamori S."
"Ito S."
"Estévez-Herrera J, González-Santana A, Baz-Dávila R, Machado JD, Borges R."
"Sanders KM, Nattkemper LA, Yosipovitch G."
"Holm TH, Isaksen TJ, Lykke-Hartmann K."
"Roshchina VV."
"Yousuf MS, Kerr BJ."
"Savidge TC."
"Zalko D, Soto AM, Canlet C, Tremblay-Franco M, Jourdan F, Cabaton NJ."
"Ribeiro JA, Fernandes PMV, Pereira CM, Silva F."
"Roshchina VV."
"Arango-Lievano M, Jeanneteau F."
"Kim SJ, Kim YJ, Kakall Z, Farnham MM, Pilowsky PM."
"Meireles M, Moura E, Vieira-Coelho MA, Santos-Buelga C, Gonzalez-Manzano S, Dueñas M, Mateus N, Faria A, Calhau C."
"Zhang FY, Li JJ, Zhou Y, Xu XY."
"Paolella BR, Stiles CD."
"Di Cairano ES, Moretti S, Marciani P, Sacchi VF, Castagna M, Davalli A, Folli F, Perego C."
"Lieberwirth C, Pan Y, Liu Y, Zhang Z, Wang Z."
"Yi QY, Li HB, Qi J, Yu XJ, Huo CJ, Li X, Bai J, Gao HL, Kou B, Liu KL, Zhang DD, Chen WS, Cui W, Zhu GQ, Shi XL, Kang YM."
"Giubilei F."
"Moreira CG, Russell R, Mishra AA, Narayanan S, Ritchie JM, Waldor MK, Curtis MM, Winter SE, Weinshenker D, Sperandio V."
"Omote H, Miyaji T, Hiasa M, Juge N, Moriyama Y."
"Liu L, Pei P, Wang L."
"Green BT, Brown DR."
"Onakpoya IJ, Heneghan CJ, Aronson JK."
"Bouabid S, Tinakoua A, Lakhdar-Ghazal N, Benazzouz A."
"Hsu CT, Bhandawat V."
"Ghasemi F, Hormozi-Nezhad MR, Mahmoudi M."
"Jonsson A, Sjöström TA, Tybrandt K, Berggren M, Simon DT."
"Zhang M."
"Florescu C, Istrătoaie O, Târtea GC, Pirici D, Streba CT, Cătălin B, Puiu I, Târtea EA, Caragea DC, Ghiluşi MC, Comănescu MV, Rogoveanu I, Vere CC."
"Zhang Y, Zhang Y, Wang G, Chen W, Li Y, Zhang Y, He P, Wang Q."
"An JH, Lee KJ, Choi JW."
"Qi Z, Yu GP, Tretter F, Pogarell O, Grace AA, Voit EO."
"Wang T, Yin L, Zou X, Shu Y, Rasch MJ, Wu S."
"Coria-Avila GA, Herrera-Covarrubias D, Ismail N, Pfaus JG."
"Arafa NM, Marie MA, AlAzimi SA."
"Lemoine D, Durand-de Cuttoli R, Mourot A."
"Fernandes AM, Vendramini PH, Galaverna R, Schwab NV, Alberici LC, Augusti R, Castilho RF, Eberlin MN."
"Thaler SL."
"Pérez-Isidoro R, Ruiz-Suárez JC."
"Bergman HM, Lundin E, Andersson M, Lanekoff I."
"Cai HB, Wu GL, Huang CH, Huang ZS, Chen YB, Wang Q."
"Kaur R, Sanan R, Mahajan RK."
"Vázquez-Gómez M, Valent D, García-Contreras C, Arroyo L, Óvilo C, Isabel B, Bassols A, González-Bulnes A."
"Esteve C, Tolner EA, Shyti R, van den Maagdenberg AM, McDonnell LA."
"Jäger C, Hiller K, Buttini M."
"Wang J, Yi M, Chen X, Muhammad I, Liu F, Li R, Li J, Li J."
"Ratajczak P, Kus K, Gołembiowska K, Noworyta-Sokołowska K, Woźniak A, Zaprutko T, Nowakowska E."
"Shariatgorji M, Strittmatter N, Nilsson A, Källback P, Alvarsson A, Zhang X, Vallianatou T, Svenningsson P, Goodwin RJ, Andren PE."
"Farsi Z, Preobraschenski J, van den Bogaart G, Riedel D, Jahn R, Woehler A."
"Gao HL, Yu XJ, Qi J, Yi QY, Jing WH, Sun WY, Cui W, Mu JJ, Yuan ZY, Zhao XF, Liu KL, Zhu GQ, Shi XL, Liu JJ, Kang YM."
"Zepf FD, Stewart RM."
"Coyle D, O'Donnell AM, Gillick J, Puri P."
"Cai T, Notkins AL."
"Umezu T, Shibata Y."
"Wojnicz A, Avendaño Ortiz J, Casas AI, Freitas AE, G López M, Ruiz-Nuño A."
"Li X, Hu H, Zhao S, Liu YM."
"Zhang H, Li T, Li S, Liu F."
"Mishra I, Singh D, Kumar V."
"Keenan WT, Rupp AC, Ross RA, Somasundaram P, Hiriyanna S, Wu Z, Badea TC, Robinson PR, Lowell BB, Hattar SS."
"Abdel-Hamid NM, Shehata DE, Abdel-Ghany AA, Ragaa A, Wahid A."
"Liu Z, Wang L, Zhou Z, Sun Y, Wang M, Wang H, Hou Z, Gao D, Gao Q, Song L."
"Zhang F, Ma XL, Wang YX, Su RR, He C, Tian K, Liu YQ."
"Tufi S, Leonards P, Lamoree M, de Boer J, Legler J, Legradi J."
"Wu LL, Liu Y, Yan C, Pan Y, Su JF, Wu WK."
"Li C, Tong H, Yan Q, Tang S, Han X, Xiao W, Tan Z."
"Sullivan KG, Levin M."
"Folasire O, Mills KA, Sellers DJ, Chess-Williams R."
"Furuhashi T, Sakamoto K."
"Yang ZL, Li H, Wang B, Liu SY."
"Tschirner SK, Gutzki F, Schneider EH, Seifert R, Kaever V."
"Schou-Pedersen AMV, Hansen SN, Tveden-Nyborg P, Lykkesfeldt J."
"Jiang M, Chen Y, Li C, Peng Q, Fang M, Liu W, Kang Q, Lin Y, Yung KK, Mo Z."
"Lietsche J, Imran I, Klein J."
"Zhao D, Zheng L, Qi L, Wang S, Guan L, Xia Y, Cai J."
"He M, Wang C, Wei Y."
"Pifferi V, Soliveri G, Panzarasa G, Cappelletti G, Meroni D, Falciola L."
"Mamidala MP, Rajesh N, Rajesh V."
"Pourhedayat A, Sarbaz Y."
"Wu D, Xie H, Lu H, Li W, Zhang Q."
"Zhen XH, Quan YC, Peng Z, Han Y, Zheng ZJ, Guan LP."
"Al-Wadei MH, Banerjee J, Al-Wadei HA, Schuller HM."
"Guo Y, Cai H, Chen L, Liang D, Yang R, Dang R, Jiang P."
"Zhang N, Zhang L, Feng L, Yao L."
"Feng L, Yue XF, Chen YX, Liu XM, Wang LS, Cao FR, Wang Q, Liao YH, Pan RL, Chang Q."
"Pandareesh MD, Anand T, Khanum F."
"Xu P, Wang KZ, Lu C, Dong LM, Le Zhai J, Liao YH, Aibai S, Yang Y, Liu XM."
"Mohammadi M."
"Bouchet A, Schütz M, Dopfer O."
"Yamada K, Matsumoto Y, Fujii S, Konishi T, Yamaoka Y, Takasu K."
"PLOS ONE Staff."
"Zorec R, Verkhratsky A, Rodríguez JJ, Parpura V."
"Pozdnyakova N, Pastukhov A, Dudarenko M, Galkin M, Borysov A, Borisova T."
"Guan LP, Liu BY, Quan YC, Yang LY, Zhen XH, Wang SH."
"Rajagopal S, Sangam SR, Singh S, Joginapally VR."
"Kumar A, Kumar K, Swarup P, Goel S, Tomar AS."
